QTD_TEORICA,QTD_TEORICA_TOTAL,QTD_REDUTOR,VAL_PARTICIPACAO_ACUMULADA_SETOR
1243177587.0,98454079581.0,16161527.11645338,2.979
734631801.0,98454079581.0,16161527.11645338,3.051
666378439.0,98454079581.0,16161527.11645338,3.051
326872005.0,98454079581.0,16161527.11645338,2.292
991920937.0,98454079581.0,16161527.11645338,2.292
1216914397.0,98454079581.0,16161527.11645338,2.292
855712622.0,98454079581.0,16161527.11645338,2.292
814523002.0,98454079581.0,16161527.11645338,2.976
1145962972.0,98454079581.0,16161527.11645338,2.976
302019876.0,98454079581.0,16161527.11645338,2.976
261359935.0,98454079581.0,16161527.11645338,2.976
128130966.0,98454079581.0,16161527.11645338,2.976
4394835131.0,98454079581.0,16161527.11645338,2.824
1345832968.0,98454079581.0,16161527.11645338,0.697
532664283.0,98454079581.0,16161527.11645338,0.697
462534972.0,98454079581.0,16161527.11645338,0.697
850935197.0,98454079581.0,16161527.11645338,0.543
194261422.0,98454079581.0,16161527.11645338,0.181
136643320.0,98454079581.0,16161527.11645338,0.956
1051120777.0,98454079581.0,16161527.11645338,0.956
353448195.0,98454079581.0,16161527.11645338,0.956
293689428.0,98454079581.0,16161527.11645338,0.956
125446075.0,98454079581.0,16161527.11645338,0.105
533959816.0,98454079581.0,16161527.11645338,0.006
273755006.0,98454079581.0,16161527.11645338,0.372
377241484.0,98454079581.0,16161527.11645338,0.372
525591097.0,98454079581.0,16161527.11645338,0.046
1872454628.0,98454079581.0,16161527.11645338,1.749
965986531.0,98454079581.0,16161527.11645338,1.749
485166826.0,98454079581.0,16161527.11645338,1.749
277677050.0,98454079581.0,16161527.11645338,1.749
476976044.0,98454079581.0,16161527.11645338,0.941
211783588.0,98454079581.0,16161527.11645338,0.941
314150156.0,98454079581.0,16161527.11645338,0.941
5857796242.0,98454079581.0,16161527.11645338,2.601
1484426957.0,98454079581.0,16161527.11645338,18.045
5129958973.0,98454079581.0,16161527.11645338,18.045
2842613858.0,98454079581.0,16161527.11645338,18.045
1287247964.0,98454079581.0,16161527.11645338,18.045
4792902422.0,98454079581.0,16161527.11645338,18.045
356586730.0,98454079581.0,16161527.11645338,18.045
637332335.0,98454079581.0,16161527.11645338,2.198
517500000.0,98454079581.0,16161527.11645338,2.198
81838243.0,98454079581.0,16161527.11645338,2.198
